{'text': 'the one-on-one', 'start': 2.0, 'duration': 4.85}
{'text': 'maybe', 'start': 1666.32, 'duration': 3.04}
{'text': "like listen better and you'll understand", 'start': 1666.799, 'duration': 3.36}
{'text': 'it and then you can', 'start': 1669.36, 'duration': 2.48}
{'text': "yeah maybe i just i didn't hear him say", 'start': 1670.159, 'duration': 3.601}
{'text': 'the conclusion five times in a row', 'start': 1671.84, 'duration': 3.12}
{'text': "maybe there's something else you're just", 'start': 1673.76, 'duration': 3.68}
{'text': 'not listening', 'start': 1674.96, 'duration': 2.48}
{'text': "maybe maybe but i don't think so", 'start': 1677.52, 'duration': 4.72}
{'text': "do you think that's a good argument i", 'start': 1680.799, 'duration': 3.12}
{'text': "don't think so maybe", 'start': 1682.24, 'duration': 4.159}
{'text': "that's true that's all those are all", 'start': 1683.919, 'duration': 3.921}
{'text': "side steps and deflections but that's", 'start': 1686.399, 'duration': 1.921}
{'text': 'okay', 'start': 1687.84, 'duration': 2.719}
{'text': "that's what you're learning content", 'start': 1688.32, 'duration': 4.719}
{'text': "let's explain this this explains all of", 'start': 1690.559, 'duration': 3.201}
{'text': 'the uh', 'start': 1693.039, 'duration': 4.401}
{'text': 'oh i think a good argument is saying', 'start': 1693.76, 'duration': 6.24}
{'text': 'this was so dumb oh my god i think', 'start': 1697.44, 'duration': 6.0}
{'text': 'raymond ironically got super tilted', 'start': 1700.0, 'duration': 6.559}
{'text': 'omega lol of the year', 'start': 1703.44, 'duration': 3.119}
{'text': "two brothers there's no health here okay", 'start': 1706.96, 'duration': 7.76}
{'text': 'dude this halo part was legendary', 'start': 1711.12, 'duration': 5.12}
{'text': 'there are two elites that are gonna come', 'start': 1714.72, 'duration': 3.6}
{'text': "running out here's what we have to do", 'start': 1716.24, 'duration': 2.48}
{'text': 'okay', 'start': 1718.32, 'duration': 1.839}
{'text': 'wait can we have one person get him and', 'start': 1718.72, 'duration': 3.36}
{'text': 'the other person just gun him down no', 'start': 1720.159, 'duration': 4.081}
{'text': "wait no i think that's the plan are you", 'start': 1722.08, 'duration': 4.0}
{'text': "sure you're not gonna friendly fire me", 'start': 1724.24, 'duration': 2.799}
{'text': 'are you', 'start': 1726.08, 'duration': 4.56}
{'text': 'no no no no', 'start': 1727.039, 'duration': 3.601}
{'text': "you don't understand it took us like six", 'start': 1730.799, 'duration': 3.76}
{'text': 'hours to get to this part', 'start': 1732.799, 'duration': 5.841}
{'text': 'okay no', 'start': 1734.559, 'duration': 4.081}
{'text': '[Music]', 'start': 1743.73, 'duration': 3.19}
{'text': 'there is no health here', 'start': 1747.919, 'duration': 2.801}
{'text': 'coomer cam random names that that must', 'start': 1751.6, 'duration': 4.48}
{'text': 'have been a fun dinner', 'start': 1754.72, 'duration': 3.199}
{'text': 'it was great actually they they used to', 'start': 1756.08, 'duration': 3.92}
{'text': 'oh no wait oh my god this is not what i', 'start': 1757.919, 'duration': 3.441}
{'text': 'want oh my god wait hold on it probably', 'start': 1760.0, 'duration': 2.159}
{'text': 'would be pleasant', 'start': 1761.36, 'duration': 2.72}
{'text': "i don't know why unfortunately um", 'start': 1762.159, 'duration': 3.921}
{'text': "destiny isn't in pog pogchamps but", 'start': 1764.08, 'duration': 3.599}
{'text': "he's interested in chess so like you", 'start': 1766.08, 'duration': 3.199}
{'text': 'guys should do a practice match because', 'start': 1767.679, 'duration': 4.401}
{'text': "you're similar rating", 'start': 1769.279, 'duration': 5.441}
{'text': '[\xa0__\xa0] dubstep what a name oh my god', 'start': 1772.08, 'duration': 5.599}
{'text': 'not even a deadline oh', 'start': 1774.72, 'duration': 4.88}
{'text': 'upon calling the number which is', 'start': 1777.679, 'duration': 4.401}
{'text': 'surprisingly still active', 'start': 1779.6, 'duration': 4.72}
{'text': "you're merely met with this [\xa0__\xa0]", 'start': 1782.08, 'duration': 4.0}
{'text': 'dubstep', 'start': 1784.32, 'duration': 6.64}
{'text': "in the league addict defeats i'm sorry", 'start': 1786.08, 'duration': 8.319}
{'text': 'name naughty', 'start': 1790.96, 'duration': 6.56}
{'text': 'such a perfect timing', 'start': 1794.399, 'duration': 4.481}
{'text': 'created that husband in a million times', 'start': 1797.52, 'duration': 3.2}
{'text': 'over for a cold and detached man garen', 'start': 1798.88, 'duration': 2.64}
{'text': '[\xa0__\xa0] teed', 'start': 1800.72, 'duration': 2.8}
{'text': "but i mean maybe that maybe i'm just too", 'start': 1801.52, 'duration': 3.44}
{'text': "old-fashioned and i'm not looking at the", 'start': 1803.52, 'duration': 3.759}
{'text': "research i guess i don't know", 'start': 1804.96, 'duration': 4.56}
{'text': "i mean i'll send it to you i'll send you", 'start': 1807.279, 'duration': 3.841}
{'text': "it and that's why", 'start': 1809.52, 'duration': 3.84}
{'text': "that's why i was like oh wow like i can", 'start': 1811.12, 'duration': 4.4}
{'text': 'really understand because i know how bad', 'start': 1813.36, 'duration': 2.64}
{'text': 'that is', 'start': 1815.52, 'duration': 3.039}
{'text': "it's considered torture like emotional", 'start': 1816.0, 'duration': 3.2}
{'text': 'torture', 'start': 1818.559, 'duration': 4.72}
{'text': 'yeah for you', 'start': 1819.2, 'duration': 6.56}
{'text': "dan why like that's what i mean i feel", 'start': 1823.279, 'duration': 3.441}
{'text': 'like', 'start': 1825.76, 'duration': 6.48}
{'text': 'it yes i understand that okay cbt motez', 'start': 1826.72, 'duration': 7.92}
{'text': "oh god i can't believe i got this is", 'start': 1832.24, 'duration': 4.159}
{'text': "don't know alerts [\xa0__\xa0]", 'start': 1834.64, 'duration': 6.8}
{'text': 'torture your [\xa0__\xa0] and balls must endure', 'start': 1836.399, 'duration': 5.041}
{'text': 'two spaces forward your [\xa0__\xa0] will be', 'start': 1841.52, 'duration': 5.44}
{'text': 'stretched', 'start': 1844.399, 'duration': 7.441}
{'text': 'trample my [\xa0__\xa0] your knight must', 'start': 1846.96, 'duration': 4.88}
{'text': "and we're done", 'start': 1852.0, 'duration': 5.919}
{'text': 'oh my god', 'start': 1855.12, 'duration': 2.799}
{'text': 'durbstany of the year', 'start': 1859.36, 'duration': 8.4}
{'text': 'oh my god this was so why dude', 'start': 1864.48, 'duration': 5.12}
{'text': "i'm not i don't even know what level of", 'start': 1867.76, 'duration': 4.0}
{'text': 'reality i was on', 'start': 1869.6, 'duration': 3.84}
{'text': 'so sometimes people just like go for', 'start': 1871.76, 'duration': 4.159}
{'text': 'rhetorical wins and they just try to', 'start': 1873.44, 'duration': 4.64}
{'text': 'like say the same thing over and over', 'start': 1875.919, 'duration': 3.521}
{'text': "again i don't even know so i thought", 'start': 1878.08, 'duration': 2.64}
{'text': 'that i would just try the same i just', 'start': 1879.44, 'duration': 2.56}
{'text': "got bored i was like okay well i'm just", 'start': 1880.72, 'duration': 2.48}
{'text': 'gonna like do the same thing but it', 'start': 1882.0, 'duration': 2.64}
{'text': "actually worked really well this guy's", 'start': 1883.2, 'duration': 1.92}
{'text': 'brain', 'start': 1884.64, 'duration': 3.12}
{'text': 'short-circuited so he kept asking me', 'start': 1885.12, 'duration': 3.039}
{'text': 'like', 'start': 1887.76, 'duration': 1.84}
{'text': 'why are you dodging my emails about the', 'start': 1888.159, 'duration': 2.481}
{'text': "guy and i told him i was like oh i'm", 'start': 1889.6, 'duration': 2.559}
{'text': "just not i don't know if i'm interested", 'start': 1890.64, 'duration': 2.639}
{'text': 'and he just kept asking over again so', 'start': 1892.159, 'duration': 2.481}
{'text': 'then i just like said well actually i', 'start': 1893.279, 'duration': 2.4}
{'text': 'already responded why are you doing my', 'start': 1894.64, 'duration': 2.0}
{'text': 'emails and i just repeated it and he', 'start': 1895.679, 'duration': 2.48}
{'text': 'like his brain like short-circuited', 'start': 1896.64, 'duration': 2.72}
{'text': 'being a hypocrite all the time and you', 'start': 1898.159, 'duration': 2.561}
{'text': "won't just admit that you were wrong", 'start': 1899.36, 'duration': 2.799}
{'text': 'about the race stuff', 'start': 1900.72, 'duration': 2.319}
{'text': "that's what we've been talking about", 'start': 1902.159, 'duration': 3.201}
{'text': "this whole time i wouldn't what am i", 'start': 1903.039, 'duration': 2.721}
{'text': 'wrong', 'start': 1905.36, 'duration': 2.48}
{'text': 'about what race stuff when you came on', 'start': 1905.76, 'duration': 3.519}
{'text': 'okay john', 'start': 1907.84, 'duration': 4.0}
{'text': "what you're thinking like six times for", 'start': 1909.279, 'duration': 3.441}
{'text': 'you to come back on', 'start': 1911.84, 'duration': 2.079}
{'text': 'about to come back on about the race', 'start': 1912.72, 'duration': 3.12}
{'text': "stuff and you keep dodging you won't", 'start': 1913.919, 'duration': 4.081}
{'text': 'respond to my email like you were on the', 'start': 1915.84, 'duration': 3.439}
{'text': "stream you said you'd come back you", 'start': 1918.0, 'duration': 2.88}
{'text': 'complain all the time about wash being a', 'start': 1919.279, 'duration': 2.64}
{'text': 'hypocrite', 'start': 1920.88, 'duration': 2.56}
{'text': "and now here you are you won't admit", 'start': 1921.919, 'duration': 4.081}
{'text': 'that you were wrong', 'start': 1923.44, 'duration': 2.56}
{'text': "i don't know what you're trying to i", 'start': 1926.32, 'duration': 3.28}
{'text': "don't know what okay i'm just asking", 'start': 1927.36, 'duration': 5.039}
{'text': "you know i'm just asking you to admit", 'start': 1929.6, 'duration': 3.76}
{'text': 'that you were wrong', 'start': 1932.399, 'duration': 2.0}
{'text': 'while you constantly complain about', 'start': 1933.36, 'duration': 2.64}
{'text': "washing a hypocrite i'm asking why", 'start': 1934.399, 'duration': 2.801}
{'text': "you're dodging", 'start': 1936.0, 'duration': 2.64}
{'text': 'coming back on and talking to a lot with', 'start': 1937.2, 'duration': 4.88}
{'text': "me he's emailed me like four times", 'start': 1938.64, 'duration': 3.44}
{'text': "i'd say a different number yeah this is", 'start': 1942.159, 'duration': 4.081}
{'text': 'this is weird', 'start': 1944.32, 'duration': 4.16}
{'text': "i i don't know what you're doing here i", 'start': 1946.24, 'duration': 3.279}
{'text': "don't know what you're trying to do i'm", 'start': 1948.48, 'duration': 1.28}
{'text': 'on', 'start': 1949.519, 'duration': 3.121}
{'text': 'shrooms what the [\xa0__\xa0] that actually does', 'start': 1949.76, 'duration': 5.039}
{'text': 'for a loop there', 'start': 1952.64, 'duration': 4.639}
{'text': 'he like actually like gets confused and', 'start': 1954.799, 'duration': 4.081}
{'text': "has no idea what's going on", 'start': 1957.279, 'duration': 5.12}
{'text': 'oh my god nukes', 'start': 1958.88, 'duration': 5.039}
{'text': "what if i ran nukes do you think they'll", 'start': 1962.399, 'duration': 4.321}
{'text': 'cancel our dnd', 'start': 1963.919, 'duration': 2.801}
{'text': "what if i ran nukes do you think they'll", 'start': 1967.519, 'duration': 3.201}
{'text': 'cancel our dnd what the [\xa0__\xa0] is', 'start': 1969.039, 'duration': 6.561}
{'text': 'nuxes iran nukes us', 'start': 1970.72, 'duration': 8.079}
{'text': 'what if i ran oh iran oh the country', 'start': 1975.6, 'duration': 4.4}
{'text': 'what if i ran nukes us', 'start': 1978.799, 'duration': 3.201}
{'text': 'yeah oh do you think dnd would be', 'start': 1980.0, 'duration': 3.36}
{'text': 'canceled that was the mean', 'start': 1982.0, 'duration': 4.08}
{'text': 'nice wait does anybody have the not', 'start': 1983.36, 'duration': 4.319}
{'text': 'father clip', 'start': 1986.08, 'duration': 4.88}
{'text': 'dude that one is so good please please', 'start': 1987.679, 'duration': 4.801}
{'text': 'please please does anybody have the not', 'start': 1990.96, 'duration': 4.959}
{'text': "father clip it's so important", 'start': 1992.48, 'duration': 3.439}
{'text': 'uh hello uh i am here to see the', 'start': 1996.72, 'duration': 5.92}
{'text': 'velthara temp or the valthara portion do', 'start': 1999.919, 'duration': 4.321}
{'text': 'you mind taking me over there', 'start': 2002.64, 'duration': 4.0}
{'text': 'uh what is your name of course not', 'start': 2004.24, 'duration': 3.36}
{'text': 'father i', 'start': 2006.64, 'duration': 4.72}
{'text': 'am uh miriam', 'start': 2007.6, 'duration': 11.76}
{'text': 'priestess here what does not father mean', 'start': 2011.36, 'duration': 11.28}
{'text': "of course not oh i don't mind of course", 'start': 2019.36, 'duration': 3.6}
{'text': 'not', 'start': 2022.64, 'duration': 4.24}
{'text': 'cabba father sorry okay', 'start': 2022.96, 'duration': 5.28}
{'text': 'i thought she was calling me not father', 'start': 2026.88, 'duration': 3.84}
{'text': "like she didn't think", 'start': 2028.24, 'duration': 4.96}
{'text': 'he', 'start': 2030.72, 'duration': 2.48}
{'text': "all right we'll continue on uh thank you", 'start': 2034.799, 'duration': 5.681}
{'text': 'wait does anybody have priest titty does', 'start': 2038.399, 'duration': 3.441}
{'text': 'anybody have the priest titty one', 'start': 2040.48, 'duration': 4.319}
{'text': 'when was this uh temple erected big mad', 'start': 2041.84, 'duration': 3.679}
{'text': 'some that make', 'start': 2044.799, 'duration': 1.921}
{'text': "like self-defense they're defending", 'start': 2045.519, 'duration': 3.36}
{'text': "property i'm so curious about a bunch of", 'start': 2046.72, 'duration': 2.48}
{'text': 'okay', 'start': 2048.879, 'duration': 1.921}
{'text': 'one of the things one of the tenets of', 'start': 2049.2, 'duration': 3.28}
{'text': 'fascism yeah uh uh', 'start': 2050.8, 'duration': 3.68}
{'text': 'is like you know a bunch of dumbasses', 'start': 2052.48, 'duration': 3.28}
{'text': 'being in charge uh', 'start': 2054.48, 'duration': 4.8}
{'text': 'um and you know uh uh like leading with', 'start': 2055.76, 'duration': 5.119}
{'text': 'force and leading with', 'start': 2059.28, 'duration': 3.359}
{'text': "eating with four you're describing every", 'start': 2060.879, 'duration': 3.121}
{'text': 'single government ever', 'start': 2062.639, 'duration': 2.801}
{'text': 'what do you mean you got to be a little', 'start': 2064.0, 'duration': 3.04}
{'text': 'bit more is that what fascism means', 'start': 2065.44, 'duration': 2.159}
{'text': 'people', 'start': 2067.04, 'duration': 2.319}
{'text': 'that make like self-defense defending', 'start': 2067.599, 'duration': 3.121}
{'text': 'property this is a history debate not', 'start': 2069.359, 'duration': 5.28}
{'text': 'political by the way', 'start': 2070.72, 'duration': 6.959}
{'text': 'nazis being dumb eric and james go first', 'start': 2074.639, 'duration': 4.641}
{'text': 'and then destiny and vosh having the', 'start': 2077.679, 'duration': 4.081}
{'text': 'last word does that sound fair', 'start': 2079.28, 'duration': 4.72}
{'text': 'uh yeah sure whoever uh whoever starts', 'start': 2081.76, 'duration': 4.96}
{'text': 'last should finish', 'start': 2084.0, 'duration': 5.119}
{'text': 'over whoever starts to finish so then we', 'start': 2086.72, 'duration': 6.08}
{'text': 'would give the closings right', 'start': 2089.119, 'duration': 3.681}
{'text': "if if you didn't start right", 'start': 2093.44, 'duration': 5.679}
{'text': 'yeah okay right but but if we are', 'start': 2096.8, 'duration': 3.12}
{'text': 'starting', 'start': 2099.119, 'duration': 2.96}
{'text': "then we will get the closing since we're", 'start': 2099.92, 'duration': 3.36}
{'text': 'starting they get to close', 'start': 2102.079, 'duration': 2.401}
{'text': 'are you talking about within the', 'start': 2103.28, 'duration': 3.12}
{'text': 'openings or i mean', 'start': 2104.48, 'duration': 3.359}
{'text': "i know i don't listen right so we're", 'start': 2106.4, 'duration': 3.199}
{'text': 'doing the block at the beginning', 'start': 2107.839, 'duration': 3.361}
{'text': 'yeah and then at the very end of the', 'start': 2109.599, 'duration': 2.961}
{'text': 'stream they can have they can have the', 'start': 2111.2, 'duration': 2.159}
{'text': 'last words', 'start': 2112.56, 'duration': 3.039}
{'text': 'these are the genetically pure aryans in', 'start': 2113.359, 'duration': 3.281}
{'text': 'a video game', 'start': 2115.599, 'duration': 3.361}
{'text': 'all right and then the anna feels convo', 'start': 2116.64, 'duration': 3.68}
{'text': 'i mean like what do i need to take', 'start': 2118.96, 'duration': 2.8}
{'text': 'responsibility over what part of this', 'start': 2120.32, 'duration': 2.64}
{'text': 'conversation am i abdicating', 'start': 2121.76, 'duration': 3.599}
{'text': 'responsibility over', 'start': 2122.96, 'duration': 5.28}
{'text': 'i mean i mean like the fact that like', 'start': 2125.359, 'duration': 3.841}
{'text': 'you know um', 'start': 2128.24, 'duration': 4.32}
{'text': 'like i mean', 'start': 2129.2, 'duration': 3.36}
{'text': 'the fact that like i mean that like you', 'start': 2132.72, 'duration': 3.2}
{'text': "you didn't you just", 'start': 2134.88, 'duration': 3.28}
{'text': "like i don't know it's very hurtful that", 'start': 2135.92, 'duration': 4.08}
{'text': 'you like i feel like that you assumed', 'start': 2138.16, 'duration': 4.4}
{'text': 'like all my time', 'start': 2140.0, 'duration': 5.76}
{'text': 'okay what a good time this is bullying', 'start': 2142.56, 'duration': 6.48}
{'text': 'nathan yikes of the year', 'start': 2145.76, 'duration': 5.359}
{'text': 'um for her to come out and be like oh', 'start': 2149.04, 'duration': 3.2}
{'text': 'you guys are being sweethearts telling', 'start': 2151.119, 'duration': 2.24}
{'text': "people you'll listen if they'll need to", 'start': 2152.24, 'duration': 2.24}
{'text': 'burn themselves happen to you listen i', 'start': 2153.359, 'duration': 2.401}
{'text': 'just want the name so i can beat some', 'start': 2154.48, 'duration': 1.92}
{'text': 'ass', 'start': 2155.76, 'duration': 3.44}
{'text': "no you're a spineless cowardly oh my god", 'start': 2156.4, 'duration': 4.24}
{'text': 'why am i being mean to this person i', 'start': 2159.2, 'duration': 2.96}
{'text': "don't know what happened [\xa0__\xa0] hack", 'start': 2160.64, 'duration': 3.12}
{'text': 'that might have let a girl get raped', 'start': 2162.16, 'duration': 2.8}
{'text': 'because you were too busy trying to', 'start': 2163.76, 'duration': 2.24}
{'text': 'protect your bottom line', 'start': 2164.96, 'duration': 2.8}
{'text': "like that's what happened right you the", 'start': 2166.0, 'duration': 3.28}
{'text': 'money that your company was making was', 'start': 2167.76, 'duration': 2.64}
{'text': 'more important to you than', 'start': 2169.28, 'duration': 2.48}
{'text': "oh this is because she didn't report", 'start': 2170.4, 'duration': 2.88}
{'text': 'anything because she was too busy like', 'start': 2171.76, 'duration': 2.56}
{'text': 'yeah i remember', 'start': 2173.28, 'duration': 3.2}
{'text': 'oh damn this is some spicy somebody else', 'start': 2174.32, 'duration': 3.36}
{'text': 'getting raped potentially multiple', 'start': 2176.48, 'duration': 2.72}
{'text': "people like that's the reality of the", 'start': 2177.68, 'duration': 2.48}
{'text': 'situation', 'start': 2179.2, 'duration': 3.52}
{'text': 'right like this was the person literally', 'start': 2180.16, 'duration': 6.16}
{'text': 'that responded to the email', 'start': 2182.72, 'duration': 5.119}
{'text': 'saying that like well hey listen [\xa0__\xa0]', 'start': 2186.32, 'duration': 2.64}
{'text': "you don't have a [\xa0__\xa0] police report", 'start': 2187.839, 'duration': 2.24}
{'text': 'get the [\xa0__\xa0] out of here', 'start': 2188.96, 'duration': 4.32}
{'text': 'whoa cat boy bringing up nathan four', 'start': 2190.079, 'duration': 4.161}
{'text': 'other people', 'start': 2193.28, 'duration': 2.64}
{'text': "how do you know that your kid's yours", 'start': 2194.24, 'duration': 3.76}
{'text': 'okay this is weird', 'start': 2195.92, 'duration': 3.84}
{'text': "i don't know if i can this is like", 'start': 2198.0, 'duration': 3.28}
{'text': 'nathan yikes of the year', 'start': 2199.76, 'duration': 4.4}
{'text': "i don't know if i can did you do a dna", 'start': 2201.28, 'duration': 3.68}
{'text': 'test', 'start': 2204.16, 'duration': 3.919}
{'text': 'um well given that my current girlfriend', 'start': 2204.96, 'duration': 5.36}
{'text': "is not the mother of my kid i don't", 'start': 2208.079, 'duration': 3.441}
{'text': 'really have to worry about that', 'start': 2210.32, 'duration': 3.759}
{'text': "so you're not in a well you're not in a", 'start': 2211.52, 'duration': 3.44}
{'text': 'uh', 'start': 2214.079, 'duration': 2.081}
{'text': 'i like it when people have all these', 'start': 2214.96, 'duration': 3.44}
{'text': 'like disparate little facts', 'start': 2216.16, 'duration': 3.52}
{'text': 'about my life and they try to like', 'start': 2218.4, 'duration': 2.56}
{'text': 'connect them to make stories but they', 'start': 2219.68, 'duration': 2.96}
{'text': 'have like no idea', 'start': 2220.96, 'duration': 3.04}
{'text': "like what they're talking about like", 'start': 2222.64, 'duration': 3.76}
{'text': 'some people think that like my wife', 'start': 2224.0, 'duration': 5.839}
{'text': 'nicole like a 15 year old nathan', 'start': 2226.4, 'duration': 4.88}
{'text': 'molina are like all the same person or', 'start': 2229.839, 'duration': 2.641}
{'text': "whatever like some of these people it's", 'start': 2231.28, 'duration': 1.76}
{'text': 'like okay', 'start': 2232.48, 'duration': 2.16}
{'text': "i'm not okay this is too spicy to watch", 'start': 2233.04, 'duration': 3.2}
{'text': 'yourselves right evelyn claire laughing', 'start': 2234.64, 'duration': 2.56}
{'text': "at disney's", 'start': 2236.24, 'duration': 2.879}
{'text': 'she okay evelyn claire out of nowhere', 'start': 2237.2, 'duration': 3.919}
{'text': 'after i hosted her multiple times and i', 'start': 2239.119, 'duration': 3.441}
{'text': 'thought i was like decently familiar', 'start': 2241.119, 'duration': 3.281}
{'text': 'comes on to this like lover host with', 'start': 2242.56, 'duration': 3.519}
{'text': 'melina and just starts [\xa0__\xa0] on how i', 'start': 2244.4, 'duration': 2.32}
{'text': 'look', 'start': 2246.079, 'duration': 2.881}
{'text': 'and then people push back against her um', 'start': 2246.72, 'duration': 3.76}
{'text': 'because thankfully elsa hates women more', 'start': 2248.96, 'duration': 2.32}
{'text': 'than they hate me', 'start': 2250.48, 'duration': 2.0}
{'text': "and then she starts tweeting and she's", 'start': 2251.28, 'duration': 2.559}
{'text': "like i'm gonna remember all of you guys", 'start': 2252.48, 'duration': 2.48}
{'text': "i'm never gonna forget this", 'start': 2253.839, 'duration': 4.481}
{'text': 'damn what a piece of [\xa0__\xa0] not multiple', 'start': 2254.96, 'duration': 5.52}
{'text': "you don't want multiple no i don't want", 'start': 2258.32, 'duration': 3.84}
{'text': 'multiple i mean i want multiple sex', 'start': 2260.48, 'duration': 3.68}
{'text': 'partners but not multiple lovers you', 'start': 2262.16, 'duration': 3.6}
{'text': 'know', 'start': 2264.16, 'duration': 4.8}
{'text': 'have you seen destiny no', 'start': 2265.76, 'duration': 5.359}
{'text': "wait hey hey hey what the [\xa0__\xa0] oh he's", 'start': 2268.96, 'duration': 4.08}
{'text': 'gorgeous hey hey hey everyone', 'start': 2271.119, 'duration': 5.281}
{'text': "it's handsome nothing hey hey hey hey", 'start': 2273.04, 'duration': 3.84}
{'text': 'hey', 'start': 2276.4, 'duration': 3.6}
{'text': "that that wasn't cool it was wow", 'start': 2276.88, 'duration': 5.52}
{'text': "i didn't like that oh melina didn't it's", 'start': 2280.0, 'duration': 3.92}
{'text': "it's he's a pretty guy he's a pretty", 'start': 2282.4, 'duration': 1.84}
{'text': 'good', 'start': 2283.92, 'duration': 1.919}
{'text': "very attractive like he's good looking", 'start': 2284.24, 'duration': 3.839}
{'text': 'right it was meant to be he was good', 'start': 2285.839, 'duration': 4.481}
{'text': 'looking right', 'start': 2288.079, 'duration': 5.841}
{'text': 'oh no no no no we can move on we can', 'start': 2290.32, 'duration': 4.56}
{'text': "move on i'm not", 'start': 2293.92, 'duration': 4.4}
{'text': "i'm not cool i like how she doubles down", 'start': 2294.88, 'duration': 5.12}
{'text': 'on it and later on she tried to like say', 'start': 2298.32, 'duration': 2.799}
{'text': "like oh well i didn't actually mean it", 'start': 2300.0, 'duration': 3.2}
{'text': 'though it was just a joke', 'start': 2301.119, 'duration': 3.761}
{'text': "whatever i don't really care much but i", 'start': 2303.2, 'duration': 3.12}
{'text': 'thought it was funny she got', 'start': 2304.88, 'duration': 3.04}
{'text': 'super mad on twitter later when uh', 'start': 2306.32, 'duration': 2.96}
{'text': 'people on elsa were arrested here for a', 'start': 2307.92, 'duration': 2.64}
{'text': 'day for that', 'start': 2309.28, 'duration': 4.079}
{'text': 'anna not being judgmental yeah because', 'start': 2310.56, 'duration': 3.84}
{'text': 'we all know', 'start': 2313.359, 'duration': 2.641}
{'text': 'you know to be a good father the best', 'start': 2314.4, 'duration': 3.6}
{'text': 'thing to do is to move like a million', 'start': 2316.0, 'duration': 3.92}
{'text': 'miles away from your son and only see', 'start': 2318.0, 'duration': 2.32}
{'text': 'him', 'start': 2319.92, 'duration': 2.36}
{'text': "i'm gonna stop it", 'start': 2320.32, 'duration': 4.56}
{'text': '[Music]', 'start': 2322.28, 'duration': 3.61}
{'text': 'honestly', 'start': 2324.88, 'duration': 4.06}
{'text': '[Music]', 'start': 2325.89, 'duration': 3.05}
{'text': 'hours that is best for children to use', 'start': 2330.0, 'duration': 2.88}
{'text': 'either wait how do the oh because this', 'start': 2331.52, 'duration': 2.16}
{'text': 'is a yikes', 'start': 2332.88, 'duration': 2.0}
{'text': 'because these are i was saying these are', 'start': 2333.68, 'duration': 2.72}
{'text': 'all just like really cringy clips but i', 'start': 2334.88, 'duration': 2.479}
{'text': "understand that's probably where they're", 'start': 2336.4, 'duration': 3.679}
{'text': 'supposed to be huh', 'start': 2337.359, 'duration': 5.441}
{'text': "i want to be oh no god i can't watch", 'start': 2340.079, 'duration': 3.04}
{'text': 'this', 'start': 2342.8, 'duration': 3.76}
{'text': "he's here to spread the social justice", 'start': 2343.119, 'duration': 5.601}
{'text': 'agenda thing [\xa0__\xa0] i [\xa0__\xa0] up the gay', 'start': 2346.56, 'duration': 3.039}
{'text': 'agenda', 'start': 2348.72, 'duration': 4.08}
{'text': 'in the social justice message [\xa0__\xa0] me', 'start': 2349.599, 'duration': 6.161}
{'text': "it's okay all right alabrel back on the", 'start': 2352.8, 'duration': 3.52}
{'text': 'chopper', 'start': 2355.76, 'duration': 2.56}
{'text': "again why do you want to be here don't", 'start': 2356.32, 'duration': 4.32}
{'text': "[\xa0__\xa0] them they're asexual", 'start': 2358.32, 'duration': 7.2}
{'text': 'what that was pretty weird', 'start': 2360.64, 'duration': 7.36}
{'text': 'i missed west so much dude i miss these', 'start': 2365.52, 'duration': 4.16}
{'text': "old royals even if i'm not on them with", 'start': 2368.0, 'duration': 4.4}
{'text': 'these like weird people', 'start': 2369.68, 'duration': 5.84}
{'text': 'why are you talking about algorithm what', 'start': 2372.4, 'duration': 4.64}
{'text': 'happened', 'start': 2375.52, 'duration': 4.4}
{'text': "i didn't i didn't call that at all well", 'start': 2377.04, 'duration': 3.92}
{'text': 'i follow', 'start': 2379.92, 'duration': 3.36}
{'text': "el rose speaking for lumiere's sexuality", 'start': 2380.96, 'duration': 3.119}
{'text': 'poggers', 'start': 2383.28, 'duration': 4.16}
{'text': 'what was that i think wait what who', 'start': 2384.079, 'duration': 4.561}
{'text': "i don't know what i don't know what he's", 'start': 2387.44, 'duration': 3.2}
{'text': 'saying right now', 'start': 2388.64, 'duration': 3.28}
{'text': "i don't really know what they said at", 'start': 2390.64, 'duration': 5.6}
{'text': 'all god this garage', 'start': 2391.92, 'duration': 7.36}
{'text': 'oh man what was the 2019 winner', 'start': 2396.24, 'duration': 6.24}
{'text': 'oh no this is so bad dude what the [\xa0__\xa0]', 'start': 2399.28, 'duration': 4.079}
{'text': 'why are you ever', 'start': 2402.48, 'duration': 2.24}
{'text': 'why would you ever say this about', 'start': 2403.359, 'duration': 3.841}
{'text': "somebody stop talking about people's", 'start': 2404.72, 'duration': 5.92}
{'text': "sons i'm", 'start': 2407.2, 'duration': 8.8}
{'text': '[\xa0__\xa0] him he had a child', 'start': 2410.64, 'duration': 7.36}
{'text': "and he's just paying for the child's", 'start': 2416.0, 'duration': 5.2}
{'text': 'existence abortion was the correct', 'start': 2418.0, 'duration': 6.88}
{'text': 'action here', 'start': 2421.2, 'duration': 6.24}
{'text': "doesn't he do uh he he does not take an", 'start': 2424.88, 'duration': 4.88}
{'text': "active role in the child's upbringing", 'start': 2427.44, 'duration': 5.2}
{'text': 'uh he he pays everything he makes sure', 'start': 2429.76, 'duration': 3.52}
{'text': 'that uh', 'start': 2432.64, 'duration': 3.04}
{'text': "they're well taken care of financially", 'start': 2433.28, 'duration': 3.12}
